index,genres,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
17,acoustic rock,0.3802986772486773,0.6132007936507936,0.5243968253968254,0.4160026455026456,0.32147492174603176,0.14051838624338622,0.03468108465608465
18,action rock,0.32,0.22899999999999998,0.41200000000000003,0.938,0.000259,0.106,0.182
19,adoracion,0.3115714285714285,0.4328571428571428,0.5047142857142857,0.5207499999999999,0.0,0.31598571428571426,0.03820357142857144
20,adult standards,0.4993761805789757,0.6556483763400994,0.4963276348996665,0.38205358211294455,0.1181935743093194,0.19677674369326426,0.053157818037679334
21,adventista,0.5145166666666666,0.7841433333333333,0.5315,0.3193833333333333,7.450333333333336e-06,0.14129,0.028986666666666668
22,afghan pop,0.7841071428571428,0.4106285714285714,0.6517142857142858,0.6515714285714286,0.0009111632142857145,0.0874607142857143,0.0844142857142857
23,afghan traditional,0.7106666666666666,0.958,0.4403333333333333,0.32366666666666666,0.4007066666666666,0.17766666666666664,0.14603333333333332
24,african percussion,0.4457272727272727,0.327,0.6003636363636364,0.7897272727272727,0.2573806909090909,0.12787272727272728,0.0797090909090909
25,african reggae,0.7709999999999999,0.2458,0.753,0.662125,0.003534624374999999,0.11122500000000002,0.05889375
26,african rock,0.6064583333333333,0.13985650416666667,0.6688958333333335,0.6110625000000001,0.09379615000000002,0.14969375,0.07265416666666667
27,african-american classical,0.2644644165114836,0.9255341402855372,0.28397566728739904,0.14219492240844198,0.43202726168218497,0.14335406579764126,0.058810474860335187
28,afro dancehall,0.6193598484848485,0.14390024821969696,0.6434583333333334,0.7646818181818181,0.007226254292929293,0.16877702020202026,0.16015214646464648
29,afro house,0.6205,0.32166666666666666,0.636,0.5706666666666668,0.13356733333333334,0.12583333333333335,0.12703333333333333
30,afro psych,0.8303333333333334,0.2280666666666667,0.6243333333333334,0.722,0.1449692433333333,0.2333333333333333,0.05453333333333333
31,afro soul,0.743,0.00627,0.7659999999999999,0.873,0.0,0.0764,0.14300000000000002
32,afro-funk,0.8796296296296297,0.1375592592592593,0.8031481481481482,0.7242962962962963,0.07984042222222222,0.09370370370370372,0.09594629629629632
33,afrobeat,0.710820172464364,0.3608718067607344,0.6329610303477765,0.6190763879414471,0.31402376459462283,0.1520585542783834,0.06037769285849096
34,afrofuturism,0.4588383044797964,0.2481634593146479,0.6335189768676742,0.581705356229114,0.12796114528470726,0.19754527869490995,0.14194756368764902
35,afrofuturismo brasileiro,0.42200000000000004,0.626,0.484,0.81,0.000283,0.11,0.0377
36,afropop,0.6484711262788878,0.436659746365678,0.6258032134839117,0.5345246397821523,0.1513956875250823,0.15988403483848093,0.07708472101705903
37,afroswing,0.676625,0.31845,0.71175,0.5801875,0.000257895,0.18995,0.1955625
38,aggrotech,0.4433333333333333,0.01186776,0.6013333333333334,0.7123333333333334,0.25199999999999995,0.25966666666666666,0.03423333333333333
39,alabama indie,0.5246704545454546,0.3232776022727273,0.557375,0.6261477272727273,0.057432373863636366,0.11927954545454544,0.048718181818181834
40,alabama metal,0.446,0.002748,0.4065,0.8659999999999999,1.105e-06,0.1406,0.0741
41,alabama rap,0.4694354280128474,0.14077273406414376,0.6861151282409347,0.6118896802122609,0.00047073708900060505,0.16230897034864772,0.16944651957361634
42,alaska indie,0.7393333333333333,0.13386666666666666,0.7396666666666668,0.4646666666666666,7.75e-05,0.0832,0.04723333333333333
